true,pred,count,share_of_true
nv,bkl,109,0.1119
nv,mel,60,0.0616
mel,bkl,57,0.3904
mel,nv,21,0.1438
nv,bcc,19,0.0195
bkl,akiec,16,0.0952
bcc,akiec,14,0.1573
bkl,nv,10,0.0595
bcc,bkl,10,0.1124
mel,akiec,10,0.0685
akiec,bkl,8,0.2353
bkl,bcc,6,0.0357
bkl,mel,6,0.0357
mel,bcc,5,0.0342
akiec,bcc,5,0.1471
bcc,df,4,0.0449
nv,akiec,4,0.0041
vasc,mel,3,0.1429
df,akiec,3,0.3333
bkl,df,2,0.0119
bcc,mel,2,0.0225
nv,df,2,0.0021
df,nv,1,0.1111
df,bkl,1,0.1111
df,bcc,1,0.1111
nv,vasc,1,0.001
vasc,bcc,1,0.0476
